"","title","year","date_published","genre","duration","country","language","avg_vote","votes"
"5321","Una notte a Casablanca","1946","1950-06-29","Comedy",85,"USA","English, French, German",7,5892
"5322","Notte di paradiso","1946","1946-05-03","Comedy, Drama",84,"USA","English",5.4,140
"5323","Licenza d'amore","1946","1946-10-03","Comedy",119,"USA","English",5.9,123
"5326","Condannatemi!","1947","1947-09-24","Crime, Drama",95,"France","French",7.4,165
"5330","Schiavo d'amore","1946","1946-07-20","Drama",105,"USA","English",6.4,574
"5331","...e un'altra notte ancora","1946","1946-06-01","Comedy, Drama",87,"USA","English",6.5,381
"5332","Ôsone-ke no ashita","1946","1946-02-21","Drama",81,"Japan","Japanese",7,222
"5335","Panico","1946","1947-01-15","Crime, Drama",99,"France","French",8,1447
"5336","Perdonate il mio passato","1945","1946-01-26","Comedy",88,"USA","English",6.8,197
"5339","Un matrimonio ideale","1946","1947-01-24","Comedy",88,"USA","English",6,102
"5347","Il filo del rasoio","1946","1947-10-31","Drama, Romance",145,"USA","English, French",7.4,5229
"5352","Roma città libera","1946","1946-12-17","Comedy, Drama",81,"Italy","Italian, English",6.8,131
"5353","L'evaso","1946","1946-12-16","Drama, Romance",66,"USA","English",5.9,216
"5356","Sciuscià","1946","1947-02-26","Drama",87,"Italy","Italian, English",8,6377
"5357","In fondo al cuore","1946","1946-12-25","Drama, Romance",97,"USA","English",6.5,536
"5359","Non dirmi addio","1946","1946-03-01","Drama",94,"USA","English",6.6,356
"5367","The Show-Off","1946","1946-12-01","Comedy",83,"USA","English",6.1,209
"5376","Sotto il sole di Roma","1948","1948-11-23","Comedy, Drama",95,"Italy","Italian, English",7.2,200
"5383","L'anima e il volto","1946","1952-05-03","Drama",109,"USA","English",7.3,3074
"5391","La sinfonia pastorale","1946","1946-09-26","Drama",110,"France","French",6.9,456
"5394","That Brennan Girl","1946","1946-12-23","Drama, Romance",95,"USA","English",6.7,225
"5403","A ciascuno il suo destino","1946","1947-09-05","Drama, Romance",122,"USA","English",7.7,2300
"5406","Two Guys from Milwaukee","1946","1947-07-18","Comedy",90,"USA","English",6.4,408
"5410","Lo spettro del passato","1946","1946-10-18","Drama",100,"France","French",7.3,215
"5413","Up Goes Maisie","1946","1946-02-01","Comedy",89,"USA","English",6.4,257
"5414","Utamaro e le sue cinque mogli","1946","1946-12-15","Drama",106,"Japan","Japanese",7.1,1119
"5419","Non rimpiango la mia giovinezza","1946","1946-10-29","Drama",110,"Japan","Japanese",7.1,2852
"5420","Un delitto nella notte","1946","1946-11-02","Crime, Drama",101,"UK","English",6.8,359
"5425","The Years Between","1946","1946-07-08","Drama",88,"UK","English",6.8,104
"5426","Una giovane vedova","1946","1946-03-01","Drama",100,"USA","English",6.1,257
"5428","Étoile sans lumière","1946","1946-04-03","Drama",88,"France","French",6.2,154
"5432","L'aquila a due teste","1948","1950-02-01","Drama",93,"France","French",6.7,444
"5433","Gli anni più belli","1948","1948-09-15","Drama, Romance",105,"France","French",7,163
"5435","Anjô-ke no butôkai","1947","1947-09-27","Drama",89,"Japan","Japanese",7.4,289
"5436","Amore e fortuna","1947","1947-09-27","Comedy, Drama",78,"France","French",7.3,758
"5438","Appointment with Crime","1946","1946-11-04","Crime, Drama",90,"UK","English",6.4,194
"5449","Narciso nero","1947","1947-12-31","Drama",101,"UK","English",7.8,20946
"5456","Blondie in the Dough","1947","1947-10-16","Comedy",69,"USA","English",7,157
"5457","Blondie's Anniversary","1947","1947-12-18","Comedy",67,"USA","English",6.8,139
"5458","Blondie's Big Moment","1947","1947-01-09","Comedy",69,"USA","English",6.7,140
"5459","Blondie's Holiday","1947","1947-04-10","Comedy",67,"USA","English",6.9,134
"5464","Ribellione","1945","1945-10-13","Drama",103,"France","German, French",7.1,147
"5467","Brighton Rock","1948","1948-09-21","Crime, Drama",92,"UK","English",7.4,5118
"5474","Calcutta","1946","1947-08-13","Action, Crime, Drama",83,"USA","English",6.4,371
"5480","Il giudice Timberlane","1947","1948-01-01","Drama, Romance",119,"USA","English",6.4,880
"5484","Tre figli in gamba","1947","1947-10-31","Comedy, Drama",90,"USA","English",5.9,476
"5487","Le vie del destino","1947","1947-09-08","Drama",120,"UK","English",6.5,162
"5490","Cinzia","1947","1947-08-29","Comedy, Drama",98,"USA","English",6.2,474
"5496","Il boia arriva all'alba","1948","1948-07-12","Drama",81,"UK","English",6.7,208
"5498","Tormento","1947","1947-06-23","Crime, Drama",90,"UK","English",6.9,687
"5500","Disperato d'amore","1947","1947-07-30","Action, Crime, Drama",104,"USA","English",6.9,629
"5501","Il delitto di Giovanni Episcopo","1947","1947-09-23","Drama",85,"Italy","Italian",6.8,157
"5502","Le ultime vacanze","1948","1948-03-24","Drama, Romance",95,"France","French",7,144
"5508","Dick Tracy Meets Gruesome","1947","1947-09-26","Action, Crime, Drama",65,"USA","English",6.2,1484
"5509","Dick Tracy's Dilemma","1947","1947-05-20","Action, Crime, Drama",60,"USA","English",6,893
"5516","Fiore selvaggio","1947","1947-09-15","Drama",88,"USA","English",7.2,274
"5517","I due orfanelli","1947","1947-11-27","Comedy",90,"Italy","Italian",6.1,118
"5518","Dédée d'Anvers","1948","1948-09-03","Drama",86,"France","Flemish, German, French, English, Italian",7,374
"5520","Ehe im Schatten","1947","1948-06-11","Drama",105,"Germany","German",7,139
"5521","Non mi sfuggirai","1947","1947-12-18","Drama, Romance",104,"USA","English",6.1,443
"5523","Exposed","1947","1947-09-08","Crime, Drama, Thriller",59,"USA","English",5.9,109
"5525","Fall Guy","1947","1947-03-15","Action, Crime, Drama",64,"USA","English",6.3,131
"5538","Fun on a Week-End","1947","1947-05-15","Comedy",93,"USA","English",6.7,140
"5541","Barriera invisibile","1947","1948-12-08","Drama, Romance",118,"USA","English",7.2,14511
"5546","Ginrei no hate","1947","1947-08-05","Action, Crime, Drama",89,"Japan","Japanese",7.2,342
"5547","Gioventù perduta","1948","1948-10-23","Drama",80,"Italy","Italian",6.9,115
"5557","Heading for Heaven","1947","1947-12-06","Comedy",65,"USA","English",5.3,105
"5564","Serenata messicana","1947","1947-05-17","Comedy",74,"USA","English, Spanish",6,378
"5568","Vendetta","1947","1947-02-10","Drama",92,"UK","English",6.2,512
"5572","Un marito ideale","1947","1947-11-14","Comedy",96,"UK","English",6.5,575
"5573","Peccatori senza peccato","1947","1947-12-31","Drama",97,"USA","English",6.3,467
"5581","It's a Joke, Son!","1947","1947-01-15","Comedy",63,"USA","English",6,196
"5582","Sfinge del male","1947","1947-09-03","Crime, Drama, Thriller",99,"USA","English",7.1,740
"5583","Jassy la zingara","1947","1947-09-08","Drama, Romance",100,"UK","English",6.5,282
"5587","Joyû Sumako no koi","1947","1947-08-16","Drama",96,"Japan","Japanese",6.9,252
"5589","Pugno di ferro","1947","1947-12-01","Drama",104,"USA","English",6.5,344
"5595","Schiavo del passato","1947","1947-03-20","Comedy",93,"USA","English",7,730
"5597","Vita col padre","1947","1947-09-13","Comedy",118,"USA","English, French",7.2,4567
"5598","A Likely Story","1947","1947-04-19","Comedy",80,"USA","English",5.9,124
"5605","The Loves of Joanna Godden","1947","1947-07-14","Drama",89,"UK","English",6.8,135
"5615","Carnefice di me stesso","1947","1948-02-09","Drama, Thriller",108,"UK","English",6.8,365
"5620","Il lutto si addice ad Elettra","1947","1947-11-19","Drama",159,"USA","English",6.5,962
"5625","Chi è di un inquilino","1947","1947-05-20","Drama",72,"Japan","Japanese",7.8,1683
"5627","News Hounds","1947","1947-09-13","Comedy",68,"USA","English",6.4,252
"5628","I misteri di Londra","1947","1947-04-07","Drama",108,"UK","English",6.9,656
"5630","Sempre più notte","1949","1949-08-22","Drama, Romance",84,"USA","English",5.8,330
"5634","Fuggiasco","1947","1947-09-27","Crime, Drama, Thriller",116,"UK","English",7.7,8764
"5636","L'onorevole Angelina","1947","1947-11-12","Comedy, Drama",90,"Italy","Italian",6.8,343
"5638","Fulmini a ciel sereno","1947","1947-04-21","Comedy",84,"USA","English",6.5,194
"5647","Il disonesto","1947","1947-04-25","Drama",112,"USA","English",6.7,628
"5649","Legittima difesa","1947","1948-05-19","Crime, Drama",106,"France","French",7.8,4978
"5651","Quiet Weekend","1946","1946-07-29","Comedy",90,"UK","English",6.5,125
"5661","Fiamme del destino","1947","1949-02-02","Drama",110,"UK","English",6.6,174
"5662","Roses Are Red","1947","1947-11-10","Action, Crime, Drama",67,"USA","English",6.5,144
"5666","Scared to Death","1947","1947-02-01","Thriller",65,"USA","English, Hungarian",4,1372
"5670","The Senator Was Indiscreet","1947","1948","Comedy",88,"USA","English",6.7,486
"5678","Meglio un mercoledì da leone","1947","1947-04-04","Comedy",89,"USA","English",6.5,1419
"5691","La valle del sole","1947","1947-04-12","Drama",97,"USA","English",5.9,215
"5692","Una meravigliosa domenica","1947","1947-07-01","Drama, Romance",108,"Japan","Japanese",7.2,2645
"5697","Età inquieta","1947","1947-11-01","Drama",83,"USA","English",6.3,602
"5698","That Way with Women","1947","1947-03-29","Comedy",84,"USA","English",6.5,174
"5713","Persecuzione","1947","1947-08-01","Crime, Drama",90,"UK","English",7,685
"5721","Benvenuto straniero!","1947","1947-06-13","Comedy",107,"USA","English",6.9,242
"5722","When the Bough Breaks","1947","1948","Drama",78,"UK","English",6.5,109
"5724","While I Live","1947","1949-07-07","Thriller",85,"UK","English",6.6,121
"5725","Il passato è sempre presente","1947","1947-11-20","Crime, Drama",98,"Canada","English",6.3,276
"5727","Corsari della terra","1947","1947-09-26","Drama",92,"USA","English",6.7,112
"5729","The Woman in the Hall","1947","1948","Drama",93,"UK","English",6.3,108
"5746","Always Together","1947","1948-01-10","Comedy",78,"USA","English",5.9,188
"5747","Gli amanti di Verona","1949","1949-03-07","Drama",105,"France","French",6.6,231
"5748","L'amore","1948","1956-03-28","Drama",69,"Italy","Italian",7,1350
"5751","Anna Karenina","1948","1948-09-27","Drama, Romance",139,"UK","English, Italian",6.7,2390
"5753","Un'altra parte della foresta","1948","1948-09-09","Drama, Romance",107,"USA","English, Greek",7.1,438
"5754","Amore sotto i tetti","1948","1949-01-05","Drama",96,"USA","English",7.2,880
"5762","La moglie ricca","1948","1948-04-02","Drama, Romance",108,"USA","English",6.2,627
"5769","Codice d'onore","1948","1949-01-31","Drama",82,"USA","English",6.6,205
"5770","La legge del cuore","1948","1948-03-25","Drama",103,"USA","English",6.5,202
"5774","Blondie's Reward","1948","1948-06-03","Comedy",66,"USA","English",6.7,124
"5775","Blondie's Secret","1948","1948-12-23","Comedy",68,"USA","English",6.8,132
"5782","Atterraggio forzato","1948","1948-05-31","Drama",89,"UK","English, French",5.8,184
"5785","Ultima tappa per gli assassini","1948","1948-06-30","Action, Crime, Drama",82,"USA","English",6.5,328
"5794","Counterblast","1948","1948-06-14","Drama",99,"UK","English",5.9,190
"5797","Dangerous Years","1947","1947-12-07","Crime, Drama",62,"USA","English",5.7,152
"5803","Il figlio della tempesta","1948","1948-12-01","Drama",85,"USA","English",6.7,208
"5815","Fuga nel tempo","1948","1948-12-25","Drama, Romance",100,"USA","English",7.2,869
"5817","Esther Waters","1948","1948-11-01","Drama",108,"UK","English",6.1,184
"5820","Passioni","1948","1948-11-22","Drama, Romance",120,"UK","English",7.2,834
"5825","Abbandonata in viaggio di nozze","1948","1949-02-24","Comedy",90,"USA","English",6.4,177
"5827","Feudin', Fussin' and A-Fightin'","1948","1948-06-01","Comedy",78,"USA","English",6.2,128
"5828","Fifa e arena","1948","1948-11-23","Comedy",80,"Italy","Italian",6.4,215
"5832","Forbidden","1949","1949-02-28","Drama, Thriller",87,"UK","English",6.6,156
"5846","The Guinea Pig","1948","1948-10-21","Drama",97,"UK","English",6.8,345
"5849","Amleto","1948","1949-01-28","Drama",154,"UK","English",7.6,14941
"5852","Here Come the Huggetts","1948","1948-11-24","Comedy, Drama",93,"UK","English",6.2,248
"5853","Here Comes Trouble","1948","1948-03-15","Comedy",55,"USA","English",5.6,196
"5858","House of Darkness","1948","1948-10-04","Horror",77,"UK","English",5.3,120
"5863","Tutti conoscono Susanna","1948","1948-02-07","Comedy",90,"USA","English, French",6.3,172
"5865","Impasse des deux anges","1948","1948-10-03","Crime, Drama",85,"France","French",6.6,159
"5867","Non fidarti di tuo marito","1948","1948-10-15","Comedy",90,"USA","English",6.3,236
"5870","Piove sempre la domenica","1947","1948","Crime, Drama",92,"UK","English, Yiddish",7.2,1436
"5874","Johnny Belinda","1948","1948-09-14","Drama",102,"USA","English, American Sign Language",7.7,4160
"5876","Vorrei sposare","1948","1948-10-29","Comedy",96,"USA","English",7,1587
"5880","Una gallina nel vento","1948","1948-09-17","Drama",84,"Japan","Japanese",7.5,1247
"5881","L'isola di corallo","1948","1949-11-11","Action, Crime, Drama",100,"USA","English, Italian",7.8,36285
"5886","Ladri di biciclette","1948","1948-11-24","Drama",89,"Italy","Italian, English",8.3,141507
"5890","Lettera da una sconosciuta","1948","1948-12-13","Drama, Romance",87,"USA","English",8,10756
"5893","London Belongs to Me","1948","1948-09-13","Drama",112,"UK","English",7,338
"5902","Man on the Run","1949","1949-06-05","Drama, Thriller",82,"UK","English",6.7,189
